[=] Session log /home/kali/.proxmark3/logs/log_20260105192541.txt
[+] loaded `/home/kali/.proxmark3/preferences.json`
[+] execute command from commandline: trace load -f grand-classic.trace; trace list -1 -t mf

[=] OFFLINE mode. Check "proxmark3 -h" if it's not what you want.

[offline|script] pm3 --> trace load -f grand-classic.trace
[+] Loaded 7849 bytes from binary file `grand-classic.trace`
[+] Recorded Activity (TraceLen = 7849 bytes)
[?] try `trace list -1 -t ...` to view trace.  Remember the `-1` param
[offline|script] pm3 --> trace list -1 -t mf
[+] Recorded activity ( 7849 bytes )
[=] start = start of start frame. end = end of frame. src = source of transfer.
[=] ISO14443A - all times are in carrier periods (1/13.56MHz)

      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
   25625168 |   25635696 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25636868 |   25640388 | Tag |08  B6  DD                                                               |  ok | 
   25706352 |   25711120 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25754304 |   25755296 | Rdr |52(7)                                                                    |     | WUPA
   25756532 |   25758900 | Tag |04  00                                                                   |     | 
   25766320 |   25776848 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25778020 |   25781540 | Tag |08  B6  DD                                                               |  ok | 
   25847088 |   25851856 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25896864 |   25897856 | Rdr |52(7)                                                                    |     | WUPA
   25899108 |   25901476 | Tag |04  00                                                                   |     | 
   25908896 |   25919424 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25920596 |   25924116 | Tag |08  B6  DD                                                               |  ok | 
   25973904 |   25978672 | Rdr |50  00  57  CD                                                           |  ok | HALT
   26023952 |   26024944 | Rdr |52(7)                                                                    |     | WUPA
   26026196 |   26028564 | Tag |04  00                                                                   |     | 
   26035968 |   26046496 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26047684 |   26051204 | Tag |08  B6  DD                                                               |  ok | 
   26090864 |   26095632 | Rdr |50  00  57  CD                                                           |  ok | HALT
   26139616 |   26140608 | Rdr |52(7)                                                                    |     | WUPA
   26141860 |   26144228 | Tag |04  00                                                                   |     | 
   26151632 |   26162160 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26163348 |   26166868 | Tag |08  B6  DD                                                               |  ok | 
   26223456 |   26228224 | Rdr |50  00  57  CD                                                           |  ok | HALT
   26267712 |   26268704 | Rdr |52(7)                                                                    |     | WUPA
   26269956 |   26272324 | Tag |04  00                                                                   |     | 
   26279728 |   26290256 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26291444 |   26294964 | Tag |08  B6  DD                                                               |  ok | 
   26367664 |   26372368 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   26374388 |   26379124 | Tag |B4  8B  72  EC                                                           |     | AUTH: nt (lfsr16 index 45017)
   26389936 |   26399312 | Rdr |43  A1  06! 97! 21! DE  B4  39!                                          |     | AUTH: nr ar (enc)
   26400500 |   26405172 | Tag |09  c0! 78! A3                                                           |     | AUTH: at (enc)
   26475200 |   26479968 | Rdr |27  cc! A3  29                                                           |     | 
            |            |  *  |                                              key FFFFFFFFFFFF prng WEAK |     |
            |            |  *  |30  00  02  A8                                                           |  ok | READBLOCK(0)
   26481156 |   26501956 | Tag |c0! 41  90  e1! 0B  62! 11! 9e! 93  bf! 7F  00! ba! 26  b6! 49  CD  BB   |     | 
            |            |  *  |46  43  53  43  15  08  04  00  47  59  55  D1  41  10  36  07  8F  31   |  ok | 
   26597168 |   26601936 | Rdr |c5! 69  73  25                                                           |     | 
            |            |  *  |50  00  57  CD                                                           |  ok | HALT
   26645232 |   26646224 | Rdr |52(7)                                                                    |     | WUPA
   26647476 |   26649844 | Tag |04  00                                                                   |     | 
   26657248 |   26667776 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26668964 |   26672484 | Tag |08  B6  DD                                                               |  ok | 
   26717712 |   26722480 | Rdr |50  00  57  CD                                                           |  ok | HALT
   26760896 |   26761888 | Rdr |52(7)                                                                    |     | WUPA
   26763140 |   26765508 | Tag |04  00                                                                   |     | 
   26772928 |   26783456 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26784628 |   26788148 | Tag |08  B6  DD                                                               |  ok | 
   26833936 |   26838640 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   26840660 |   26845396 | Tag |EA  17  52  40                                                           |     | AUTH: nt (lfsr16 index 10149)
   26856288 |   26865664 | Rdr |5F  56! F6  C2  ac! 4E  8F  76                                           |     | AUTH: nr ar (enc)
   26866852 |   26871588 | Tag |11  59! 3d! 05!                                                          |     | AUTH: at (enc)
   26907392 |   26912160 | Rdr |E6  51  6B  16                                                           |     | 
            |            |  *  |                                              key FFFFFFFFFFFF prng WEAK |     |
            |            |  *  |30  00  02  A8                                                           |  ok | READBLOCK(0)
   26913348 |   26934148 | Tag |64  01  8D  a3! e1! 46  9E  0E  c8! ed! 80  5a! C8  7B  99  49  39! 39   |     | 
            |            |  *  |46  43  53  43  15  08  04  00  47  59  55  D1  41  10  36  07  8F  31   |  ok | 
   27039856 |   27044560 | Rdr |96! 72! 90  07!                                                          |     | 
            |            |  *  |61  44  0D  66                                                           |  ok | AUTH-B(68)
   27046580 |   27047156 | Tag |08(3)                                                                    |     | 
   27063312 |   27068080 | Rdr |50  00  57  CD                                                           |  ok | HALT
   27108848 |   27109840 | Rdr |52(7)                                                                    |     | WUPA
   27111092 |   27113460 | Tag |04  00                                                                   |     | 
   27120864 |   27131392 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   27132580 |   27136100 | Tag |08  B6  DD                                                               |  ok | 
   27181824 |   27186592 | Rdr |50  00  57  CD                                                           |  ok | HALT
   27222128 |   27223120 | Rdr |52(7)                                                                    |     | WUPA
   27224372 |   27226740 | Tag |04  00                                                                   |     | 
   27234144 |   27244672 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   27245860 |   27249380 | Tag |08  B6  DD                                                               |  ok | 
   27285120 |   27289888 | Rdr |50  00  57  CD                                                           |  ok | HALT
   27328832 |   27329824 | Rdr |52(7)                                                                    |     | WUPA
   27331076 |   27333444 | Tag |04  00                                                                   |     | 
   27340848 |   27351376 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   27352564 |   27356084 | Tag |08  B6  DD                                                               |  ok | 
   27398240 |   27403008 | Rdr |50  00  57  CD                                                           |  ok | HALT
   27440144 |   27441136 | Rdr |52(7)                                                                    |     | WUPA
   27442388 |   27444756 | Tag |04  00                                                                   |     | 
   27452160 |   27462688 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   27463860 |   27467380 | Tag |08  B6  DD                                                               |  ok | 
   27516096 |   27520864 | Rdr |50  00  57  CD                                                           |  ok | HALT
   27561072 |   27562064 | Rdr |52(7)                                                                    |     | WUPA
   27563316 |   27565684 | Tag |04  00                                                                   |     | 
   27573104 |   27583632 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   27584804 |   27588324 | Tag |08  B6  DD                                                               |  ok | 
   27654176 |   27658944 | Rdr |50  00  57  CD                                                           |  ok | HALT
   27696832 |   27697824 | Rdr |52(7)                                                                    |     | WUPA
   27699060 |   27701428 | Tag |04  00                                                                   |     | 
   27708848 |   27719376 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   27720564 |   27724084 | Tag |08  B6  DD                                                               |  ok | 
